item_id,query_mod,question,review,human_ans_spans,human_ans_indices
B003VAGXWK,solid,How are the keys of the  keyboard?,"I was reluctant to try a wireless keyboard, but due to a wire-chomping kitty, decided it was best to go wireless. I'm so glad I did. This keyboard is sleek and stylish. It has a great feel under my fingertips. I was concerned that a wireless keyboard would be &#34;buggy&#34; and not be efficient, but this keyboard is as good as any corded keyboard. It charges easily via USB port and holds a charge for about ten days. The illuminated keys are helpful, if, like me, your eyes aren't as young as they once were. I already had the logitech unifying plug that plugs into my computer for my mouse and touchpad. I turned the keyboard on and the Logitech plug recognized it right away. I highly recommend this keyboard. ANSWERNOTFOUND",The illuminated keys are helpful,"(421, 453)"
B008UHK3KM,fine,How is the product?,"The anti-glare function does work as described. However, it sacrifices the clarity of the screen display and I can't even recognize that my iPad actually has retina display. The screen looks as if it's filled with red, green and blue dots...I'm thinking about replacing the current screen protector with a clear one.---Edited:Now that I've seen what an anti-glare screen protector is like, I realize the clear one is indeed what I need. TechArmor has a great customer service and has kindly provided me with a change to try the clear screen protectors instead of the anti-glare ones. I'm seeing myself as a returning customer. ANSWERNOTFOUND",The anti - glare function does work as described,"(0, 46)"
B006ZBWV0K,good,How is the cover?,"I was pleased to see the Verso Prologue Cover coming in for review. I rely heavily on my Kindle Fire, which the product does not support, but my wife did not have a nice cover for her Kindle 3G.  She still doesn't.  This product does not fit the 3G Kindle. The initial pitch line for the product said it worked on Kindles, but the product page more clearly identifies it as only for Paperwhite, standard Kindle, and Kindle Touch. A disappointment not to be able to test it, but it looks nice. ANSWERNOTFOUND",I was pleased to see the Verso Prologue Cover coming in for review,"(0, 66)"
B003VAK1I2,bad,How well does the speaker work for you?,"To those who think these speakers are too quiet, I suggest you check your ""Sound"" settings (in Mac). Go to ""Output"" and check whether ""Logitech"" is selected, or internal speakers. I'm sure Windows instructions are similar -- Control Panel, Sound, something.If that doesn't work, turn your hearing aid up.This thing is incredibly designed, they should win an award for it. I think it was designed around the 13"" Macbook Pro (that's what I have). It nails at least 7 of Dieter Rams' 10 Principles of design, most especially ""Good design is unobtrusive.""My only complaint is that the sound mix is a little mid-heavy for my taste. That's pretty nitpicking for $40 speakers that hang like a ninja behind my laptop monitor, but I thought I'd share that observation as well. ANSWERNOTFOUND",speakers are too quiet,"(25, 47)"
B006QB1RPY,better,How is the speed?,"I am NOT a computer nerd. Now I can tell you that I just installed this and then updated my wifi devices back to my printer. The whole darn thing took maybe an hour. AND I didn't have to call ANYONE in India (or some other place where I can't communicate with them because we speak different languages). HUZZAH!!! It's up and running and while I don't think I have faster speeds (I'm on satellite--sigh) I was losing my connection when I was in my studio, so today I'll be trying that out. I'll update this review. ANSWERNOTFOUND",I have faster speeds,"(358, 378)"
B004E10KFG,awesome,How is the sound?,"There are many times when I just want my background music to follow me to the patio, on the road, in the kitchen, at meetings -- even at the beach. We used to cart around jam boxes with mix tapes, but now our computers, smart phones, tablets and just about any internet connected device can access our online music library. The speakers on these devices are just horrible and sometimes, I don't want to have headphones on. I wanted a nice sounding small unit that would allow me to enjoy music anywhere from just about any device.The JAMBOX is small, easy to use, sounds very good for background music, is an excellent design and even runs on batteries.SIZE: this thing is very small, you can take it anywhere and tuck it away in a place where it almost disappears. All you get is music.DESIGN: These folks included a simple interface that uses only four buttons and voice feedback to tell you how to pair a device, charging status and much more. It comes with a manual, but honestly, you can set this up with no trouble out of the box. It is well constructed with a nice feel. It even looks good.BLUETOOTH CALLING: The bluetooth implementation works for sound and as a speakerphone. I was not purchasing this as a speakerphone but WOW, this things is great for conferencing as long as everyone is in front of it. Yes it has an integrated microphone. Rejection is very good, we could all clearly hear the caller and they could hear us as well.SOUND: The sound is actually very good for background music. You won't get big stereo sound field, excellent imaging, thumping bass or dance party volume levels -- but what you do get is actually quite impressive. The sound is balanced from top to bottom and is actually very natural. Acoustic music with vocals like James Taylor, Nora Jones or Shane Jackman are reproduced with excellent balance and clarity. Electronic pop music can lack the dynamics and extended bass, but the bass you do get is not boomy and sounds very natural. One more thing about the bass, it is actually amazing this little thing puts out as much bass as it does for the size. If you are worried the JAMBOX will not play loud, it will, just not THUMPING loud. Because of the smooth high end and good tonal response, you can listen to this thing for a long time with almost no fatigue.BLUETOOTH MUSIC: As most devices, the BlueTooth audio is not as good as if you use the 1/8 audio jack. If you want the best sound plug your phone or computer into this thing. It will amaze you. You may need to turn your headphone output down some so as not to overdrive the unit. It will get a little distorted. The BlueTooth sound is very good, just not as good as when using the plug. Jawbone does something very interesting with the BlueTooth audio. Some devices with BlueTooth audio can be overdriven with the audio output from the source and will distort in at the higher levels. I play guitar and some distortion is good, but not on prerecorded music. NO! The folks at JamBox know then and use something called compression to dynamically limit the amount of sound from your device to the JAMBOX when your BlueTooth level is to high. This compression can sound like 70's pop radio where all the dynamics form the music are taken out. if this bothers you, turn your device (phone/iPod/computer) BlueTooth volume down until the compression is eliminated then use the volume on the JAMBOX to adjust the sound. BUGE IMPROVEMENT.In summary, of the BT Speakers out, this one is the best value for me. Smaller than the Bose, sounds about as good, super easy to use and has MUCH better sound than the sub $100 solutions. If Steve Jobs were to design a BlueTooth portable music device, it would look like the JAMBOX. ANSWERNOTFOUND",SOUND : The sound is actually very good for background music,"(1443, 1502)"
B002WE6D44,outstanding,How is the price?,I have a Sony a33 SLT camera and I've used a 32Gig one of these for about 2 years and have not had any problems with it. I just bought a second one because my wife bought a camera that uses one of these cards and I think a 32GB card is good enough to have for a good 2-week vacation without need to remove/delete pics. Not to mention that the price is amazing. ANSWERNOTFOUND,the price is amazing,"(339, 359)"
B00COYOAYW,bad,Why is the camera of poor quality?,"Item like The picture, fast deliver 3 days well packed, good Quality for the price .  phone is really lightweight and looks decent. Though I am not too happy about the white backside.The screen is sharp, bright, and colorful. This Nokia runs Windows that is really intuitive and easy to use even for a person (like me) who never had a smartphone before. The phone feels very fast and responsive. The menus look pretty. You can choose color and content of your home screen as well as size, color, and location of the icons. Also, I chosen Bing background (beautiful landscapes that update every day or two) for the lock-screen and like it a lot. WiFi works great. It connects to my home or work network instantaneously. So, the only time I use my cellular data is when I travel to/from work. The camera is decent (as phone cameras go), There is no flash though. ANSWERNOTFOUND",There is no flash,"(835, 852)"
B003ZSHNGS,new,How is feature?,"I love this camera.  The S95 is my new everyday walking-around camera, replacing my Canon G10 (and very briefly a Nikon P7000).  The S95 produces images of wonderful quality with good noise control (for a 1/1.7 sensor camera) all the way to ISO 2000.  Operation of the menus and controls is very fast with little to no delay in selecting menu options.  The customizable front control ring allows you to quickly change frequently used settings.  Battery life could be better, but I'm getting a little more than the advertised 200 shots per charge, and the battery is small and light enough that it's easy to carry a couple of spares. ANSWERNOTFOUND",  Operation of the menus and controls,"(250, 287)"
B0044YU60M,easy to set,How did you like the router?,"I am a professional writer, focusing on computer-related products, so I don't give 5 star reviews so easily. This product however definitely deserves it.The router took about 10' to install and has worked like a charm since then. Positioned in the ground floor of the house, it manages to give a strong enough signal to be received at 135 Mbps from the upper floor. And that's from my net-book, which has a quite mediocre network card. My room-mate claims that he has a super high speed, both for downloading and for uploading, from his desktop computer.The router has a fairly easy menu, though it took us a good 7 minutes to configure all the security settings (you can never be too careful these days). Other routers may be better in this aspect. However, this is something you only do once (or twice at most) so it's not a big deal.The bottom line is that this product is not just a good buy, but something you can cherish for a while. I would highly recommend it to any computer user who relies a lot on a wireless network for his/her internet access.One thing that it is a bit bizarre though is that the upload speed is about 3 times higher than the download speed, something that has been observed it two computers in our network. Usually DL speed is significantly lower than UL speed. That's not an issue though, since the important factor is the connection stability, which has exceeded our expectations. ANSWERNOTFOUND",The router took about 10 ' to install and has worked like a charm since then,"(153, 228)"
B00B0TMWTW,easy to press,How is the button easy to press?,"This is a very comfortable mouse! I didn't give it 5 stars because it's a tad big for my hands, which might just be a little smaller than average - but it always seemed to me it is harder for those with larger hands to find mice, so that's probably a good feature. It is still a big improvement! It has nice grip on the thumb side and a nice-feeling semi-rubberized right side (which I wish were a little more grippy). The scroll wheel has a very nice feel and grip. The nano receiver fits into the bottom fairly firmly. Completely plug and play on my MacOS10.8 setup. Tracks and slides nicely, feels quality all over. The DPI changing button is in a nice spot where you won't accidentally hit it, too. Great buy! ANSWERNOTFOUND",The nano receiver fits into the bottom fairly firmly,"(467, 519)"
B001CS7UAM,high,Is the review rating not good ?,"***** Update 4/30/2012  -  Apparently the 3/25 problem with charge and retention was related to the original ""too short"" flaw.  Seeing the tape I used to build up the end had compressed a lot under the camera battery's retention clip, I improved that fix and the charge and retention are back.  After a thousand flash-less test pictures there is power left in the charge from a few weeks ago.  Still One Star for the size flaw, tho ********** Update 3/25/2012  -  Seems to Run Out of Juice Awful Quick. . .Now I question this Brand's Total Charge and/or Retention. I've had better all-round luck with Power2000 *****I bought this extra battery for my Olympus Stylus with high hopes since a different battery from a different ""No Name"" brand works well in my Canon camera.  On arrival the battery looked just like the Olympus original but when I put it in the camera nothing happened.Since rechargable batteries usually arrive with enough charge to at least turn on the equipment, I wondered if the thing was DOA.  I tried charging the battery several times in the camera without success in any way.  Again I figured DOA.For some reason I eventually tried pressing the battery down lightly inside the battery compartment with my finger and turning the camera on.  ...It worked...  And it worked fine every time I tried it.When installed, the battery is a ""hair"" too short to touch the contacts inside the battery compartment.  The original Olympus battery has NO HINT of this problem.  I roughly compared the Olympus and Maximal batteries side by side.  If there is any difference in length it is very small but apparently enough to cause an issue.I imagine the problems with the battery having no power seen here in a few negative reviews could be from a lesser degree of the same issue, where the power connection is flawed during use or charging so one suspects the thing is no good.The work-around is to build up the end of the battery with tape or something, though such a fix could make switching batteries a real pain given the tight clearances in the battery compartment.I decided to exchange the battery and hope the replacement meets the original spec. better.  I'm encouraged by it's vast majority of 4 and 5 Star reviews.  The battery was provided by Amazon and I managed to discover the problem within Amazon's Return Window so at least the return is going smoothly, supposedly with no extra cost to me for shipping the battery back and receiving it's replacement.The replacement arrived and has the same problem.  Using several layers of scotch tape, I built up the battery end where the tiny clip holds it in the camera.  The battery seems to work fine now while still slipping in and out of the camera easily.The package has a Support number to call.  The person I spoke with didn't know of any problems like mine and recommended I return the battery to Amazon AGAIN and ...get this... TRY AN DIFFERENT BRAND.  AND though it also is marketed for other manufacturer's cameras, this replacement is SUPPOSED to be an EXACT match for the Olympus model my camera takes...It even has the same Model Code on the package (LI42B).Subsequently I was looking at replacements for a Canon NB-6L battery and saw many 1 Star ratings for MaximalPower's NB-6L battery noting that the thing was TOO BIG to fit, although otherwise that battery also has a high rating. ANSWERNOTFOUND",4 and 5 Star reviews,"(2211, 2231)"
B001CCLBSA,large,What is the price of the camera?,"This is a good little camera. I thought long and hard before I gave it only three stars. But, despite it being better than any other compact, I still have lots of criticism.The good:The image quality is very strong. Not as good as the DP1/2, but that camera is a disaster in nearly all other regards. With F/2 and and 400 you'll likely get the indoor shot you need. And when that fails, 800 is tolerable. The LX3 is a zippy performer too. While a little slow on the startup, the auto-focus is decently quick (could be better) and the shot to shot performance is quite good. The full-auto mode is good too. Hand the camera over to a novice and he/she will get a good shot. Love the aspect ratio.The meh:The zoom range is a little limited. But I'm not too bothered by it. Other than macro, I can't imagine the manual focus ever being usable. I'd gladly give up some screen real estate for a viewfinder (even an evf). An integrated lens cap would have been a nice touch, as would a wrist strap. It'd be nice if the RAW format were more open. At the time of this review Aperture doesn't support it at all and Lightroom only kinda supports it.The bad:My main complaint is the interface. It's not awful. In fact it's probably better than most compacts. But this camera had so much manual potential, only to be let down my too many darned buttons. The user programable setting are a good example. It has four presets. But only two of them are really useful. The other two require you to turn the dial, hit the select button, navigate down and then confirm; you just missed your shot. I wonder why it would be so difficult to have two or three more dials on the camera to control shutter, aperture and ISO? Instead, we get the worlds tiniest joystick. Again, by the time you've actually changed a setting you probably missed the shot. Also, why is a manual focus that goes around the lens so hard to implement? It's such a wonderful convention that is almost never seen on a compact.The wrap up:I do really like this camera. It's a good RAW shooter with good quality; all in a compact package. But, I hope that Panasonic really concentrates on the fundamentals for the LX4. A viewfinder and a couple of dials or knobs would have made this a four star camera for sure. If they managed to squeeze a larger sensor in too, it would be the best camera of all time.The unrelated:Shame on Amazon for allowing price gouging from their partners. Currently (April/May 2009) the LX3K is quite scarce. I ended up paying a reasonable $50 over MSRP. But during the shortage the camera has been on sale for as much as $750 ($250 over MSRP!). Capitalism, the free market and supply/demand are all good things. But I'm a little offended that Amazon would allow their customers to be bludgeoned by such heavy pricing. Remember, just because someone agrees to be taken advantage of, doesn't make it right to do so. ANSWERNOTFOUND",sale for as much as $ 750,"(2575, 2599)"
B007P4VOWC,better,How is the camera?,"I'm disappointed that the flaws in this, my second Galaxy Tab, are so substantial.  The camera is so bad as to be useless, and watching youtube videos is unacceptable:  if you try to fast forward or rewind, it just freezes.  I hate to say it but my ipad, on the same network, is flawless  by comparison. ANSWERNOTFOUND",The camera is so bad as to be useless,"(84, 121)"
B006GWO5WK,good,Is this phome comes with a charger?,"The charger is very nice, I feel that it should be included free of charge when purchasing the kindle fire, or any kindle product. When purchased, it said it was half price, when I checked out I was charged full price. ANSWERNOTFOUND",The charger is very nice,"(0, 24)"
B0044YU60M,better,How is the unit?,"EDIT:08/14/11Unfortunately, I've been experiencing some issues with this router.  As far as the computers in my house go, this router seems to work just fine.  No problems connecting anywhere in the house.  My problem is with my iOS devices.  My ipad connects just fine and stays connected while in use, but loses it's connection when idle.  I use an alarm clock app at night that displays the weather.  By the time I wake up in the morning, the weather is no longer available because my connection was dropped.  I have to open my preferences and re-select my network.And that's the least of my problems.  I use my ipad as a VNC Remote, VLC Remote, and a remote file viewer for my Mac Mini.  I had never had any hiccups with my previous router, but this one will not connect with any of those three applications.  If I restart the router, I have a short period of time where they will connect before my ipad goes idle, I lose my connection, re-select my network in preferences, and then none of those three will work.  It's never just one, all three stop working at once.  I use these features of my wifi network multiple times throughout the day and this has been incredibly frustrating.I'm waiting to hear back from tech support before I box this up and send it back.  I really want to like it...it's nice looking, and fast, but I need the above features to work, or the router is near useless to me.ORIGINAL REVIEW:This was an upgrade from a Comcast leased router that, in all honesty, was perfectly fine.  We were just tired of paying for it every month.  I've only had this router for a day, but setup only took seconds.  The setup page is pretty easy to navigate and I had no problems renaming our network, creating a passcode, and forwarding the necessary ports to get my torrent clients up and running.  I don't notice any significant speed increase over a wireless G router, but very few systems are able to utilize the 150mbps this thing is capable of providing.  Anyway, the signal is strong and it's as speedy as expected.I've owned quite a few routers in my day and most of them are pretty straight forward pieces of equipment.  This one receives five stars because it does what it's supposed to and hasn't hickupped so far.  I will update my review in a few months when I have a better idea of durability and quality over time, but I don't foresee any issues.For the price, a GREAT buy, and I highly suggest getting the bundle that Amazon offers with this modem:Motorola SB6120 SURFboard DOCSIS 3.0 eXtreme Broadband Cable Modem.  The combination is stellar.  Very happy buyer :) ANSWERNOTFOUND",router seems to work just fine,"(127, 157)"
B00DR0PDNE,capable,How do set the device to the most advanced level?,"Setup was painless and took about 5-10 minutes. The backgrounds are really pretty and I had no problem throwing Hulu, Pandora, and Netflix from my Samsung Galaxy S3 to the TV via this Chromecast. It's actually much faster to use than booting up my roommate's 360 or PS4 to watch streaming media. I was surprised to find it does not drain my phone battery at all!This is a great, cost-effective product for people who don't have consoles or a blu-ray player to stream media from. ANSWERNOTFOUND",It 's actually much faster to use than booting up my roommate 's 360 or PS4 to watch streaming media,"(196, 294)"
B00G4UQ6U8,similar,How was the sound?,"I have been extremely pleased with Brainwavz S1 headphones. I have not been very impressed with any of the in-ear headphones I have tried in the past due to lack of comfort and poor sound quality. Brainwavzs has a developed a product that has addressed these areas and offers more.Firstly, the ear buds fit comfortably and don't tug on the ears. After an hour of wearing these headphones, my ears still feel fine.  The company includes several different options for inner ear tips. It is trial and error to find the ones that work for you. Secondly, the sound quality is great for my uses. I tried these on an airplane to watch a movie and during a work out to listen to music. As advertised, the bass and vocals were clear and not overbearing. Though they didn't cancel sound as the bulkier headphones do, but the sounds quality was impressive while on the airplane. To note, I did not try any tips other than the tri-flange tips during the plane trip. Additionally, when the outside of the earbuds are rubbed or brush against something during sound play, the sound is not impacted.Some added features that add to this product are the flat wires that cut back on tangling. This seems to work well. They did not require any untangling when getting them out for use. The hard earphone carrying case is great and small.Overall, this is an excellent product. They offer excellent sounds quality in a compact size and an affordable price. I recommend these for anyone searching for good quality ear buds. ANSWERNOTFOUND",the sound quality is great,"(550, 576)"
B0019EHU8G,comparable,How is the price?,"This 15 ft HDMI cable seems to be well crafted and the price is unbeatable.  I purchased a longer cable to allow for mounting my TV high on a wall with a fully adjustable/movable TV mount.  While I don't have my wall mount yet, I have connected and used the cable and I expect it to work quite well.  It is supple, easy to work with and the Picture quality is great with my 50"" Panasonic plasma TV.  The length of the cable did not degrade picture quality.  I have not tried 3D viewing yet, because I don't have glasses or a 3D disc yet.  Regardless, the product specifications say it will support 3D and I have no reason to doubt (but I will update my review if there is a problem). ANSWERNOTFOUND",While I do n't have,"(190, 208)"
