path	Transcription
../resampled_audio/re_LJ037-0102.wav	he stated further that from quote what i saw of him end quote the man looked like the man in the picture
../resampled_audio/re_LJ019-0380.wav	in one part the most praiseworthy activity prevailed
../resampled_audio/re_LJ044-0149.wav	he said that nothing kept him in the united states that he would not lose anything if he returned to the soviet union that he wanted to be with her
../resampled_audio/re_LJ028-0395.wav	it was a low rampart enclosing a wide space planted with trees of every sort in which all kinds of beasts were shut up
../resampled_audio/re_LJ041-0079.wav	nelson delgado one of oswald's fellow marines testified that oswald tried to quote cut up anybody that was high ranking end quote
../resampled_audio/re_LJ010-0294.wav	frauds indicating great boldness extensive design and ingenuity became more prevalent
../resampled_audio/re_LJ022-0201.wav	through the instrumentality of the democratic form of government
../resampled_audio/re_LJ015-0313.wav	saward spent all his share at low gaming houses and in all manner of debaucheries
../resampled_audio/re_LJ022-0079.wav	projects shall be of a nature that a considerable proportion of the money spent will go into wages for labor
../resampled_audio/re_LJ014-0325.wav	goods would be landed at this wharf
../resampled_audio/re_LJ045-0125.wav	for example in his letter of november  
../resampled_audio/re_LJ017-0004.wav	i have attempted to draw of crime in connection with newgate from first to last i must make some mention in this my penultimate chapter
../resampled_audio/re_LJ044-0214.wav	reported castro as saying cuba could not accept a situation where at the same time the united states was trying to ease world tensions
../resampled_audio/re_LJ033-0065.wav	with ruth paine acting as an interpreter detective rose asked marina whether her husband had a rifle
../resampled_audio/re_LJ038-0174.wav	their results were negative
../resampled_audio/re_LJ033-0174.wav	microscopic and uv ultra violet characteristics end quote
../resampled_audio/re_LJ007-0089.wav	it was manifestly wrong that such persons visited by the most awful of calamities should be detained in a common prison
../resampled_audio/re_LJ010-0065.wav	at the former the provisional government was to be established
../resampled_audio/re_LJ002-0316.wav	notably as when numbers filled newgate in anticipation of lord redesdale's bill for insolvent debtors
../resampled_audio/re_LJ010-0316.wav	i kept up the payments of the dividends but made no entries of such payments in my books
../resampled_audio/re_LJ002-0285.wav	and was so unfit to sleep on that it had not been used for many years so that the men and women associated together indiscriminately
../resampled_audio/re_LJ012-0246.wav	the murder in both cases was long a profound mystery in this which i am now describing
../resampled_audio/re_LJ028-0385.wav	it had become as dio cassius said mounds and legends and ruins
../resampled_audio/re_LJ016-0043.wav	the least slip now would have been fatal to him but he could not thrust his body in through the narrow space left by the chevauxdefrise
../resampled_audio/re_LJ016-0168.wav	a laudable desire to invest executions with more and more solemnity and decorum gained ground as they became more rare
../resampled_audio/re_LJ033-0110.wav	frazier and mrs randle testified
../resampled_audio/re_LJ033-0002.wav	chapter  the assassin part 
../resampled_audio/re_LJ029-0115.wav	in preference to a short stretch of the central expressway which presented a minor safety hazard
../resampled_audio/re_LJ015-0264.wav	the series of boldlyconceived and cleverlyexecuted forgeries in which james townshend saward commonly called jem the penman
../resampled_audio/re_LJ033-0133.wav	and i didn't pay too much attention on how he carried the package at all end quote
../resampled_audio/re_LJ037-0131.wav	when he reached a gasoline service station one block away he turned north and walked toward a parking area in the rear of the station
../resampled_audio/re_LJ041-0164.wav	which thornley read at oswald's suggestion
../resampled_audio/re_LJ018-0387.wav	the flower had berries also of bread fixed on stems made from the fiber drawn from the stuffing of his mattress
../resampled_audio/re_LJ010-0200.wav	young england which oxford had evolved out of his own inflated selfconceit and which had never any real corporeal existence
../resampled_audio/re_LJ043-0077.wav	while that counselor found that he was qualified to handle many different types of jobs
../resampled_audio/re_LJ013-0177.wav	his lordship's watch was gone
../resampled_audio/re_LJ049-0151.wav	responsibilities for presidential protection
../resampled_audio/re_LJ043-0178.wav	as in fact one of them did appear after the assassination
../resampled_audio/re_LJ039-0242.wav	 brought this rifle into the depository building on the morning of the assassination
../resampled_audio/re_LJ030-0006.wav	they took off in the presidential plane air force one at  am arriving at san antonio at  pm eastern standard time
../resampled_audio/re_LJ015-0002.wav	the course of the swindlers was by no means smooth but it was not till  that suspicion arose that anything was wrong
../resampled_audio/re_LJ038-0151.wav	he acknowledged the encounter with the police officer on the second floor
../resampled_audio/re_LJ047-0011.wav	and the assistant to the director in charge of all investigative activities under the director and associate director in addition
../resampled_audio/re_LJ030-0221.wav	stated that mrs kennedy would probably have fallen off the rear end of the car and been killed if hill had not pushed her back into the presidential automobile
../resampled_audio/re_LJ043-0018.wav	he was offensive with the people and i can understand why because that hurt him
../resampled_audio/re_LJ008-0003.wav	which we left at the time of the discontinuance of the longpracticed procession to tyburn
../resampled_audio/re_LJ045-0143.wav	and use it against him as had been done in new orleans
../resampled_audio/re_LJ048-0259.wav	however chief rowley did not condone the action of the offduty agents particularly since it violated a regulation of the secret service
../resampled_audio/re_LJ018-0226.wav	leaving everything to the widow and constituting william sole executor
../resampled_audio/re_LJ001-0167.wav	a device which deceives nobody and makes a book very unpleasant to read
../resampled_audio/re_LJ014-0159.wav	manning's demeanor was more in harmony with his situation and the full confession he made
../resampled_audio/re_LJ043-0150.wav	she indicated that she had no advance knowledge of oswald's plans
../resampled_audio/re_LJ022-0060.wav	we must begin now to make provision for the future
../resampled_audio/re_LJ028-0398.wav	the walls of babylon were destined to serve still another purpose
../resampled_audio/re_LJ043-0032.wav	after about a week separation marina oswald returned to her husband
../resampled_audio/re_LJ029-0192.wav	on october  the press reported chief of police curry's plans
../resampled_audio/re_LJ029-0110.wav	the route impressed the agents as a natural and desirable one
../resampled_audio/re_LJ013-0170.wav	the fresh marks of violence upon the door had evidently been made inside and not from outside
../resampled_audio/re_LJ005-0115.wav	or an imaginary boundary line and nothing prevented parties from passing to either side
